total duration,phone type,u_fweeknum
5451,mobile,1
27875,landline,1
267751,mobile,2
823253,landline,2
854869,landline,3
300950,mobile,3
320350,mobile,4
884196,landline,4
879634,landline,5
323219,mobile,5
942171,landline,6
383796,mobile,6
959533,landline,7
375462,mobile,7
904680,landline,8
347257,mobile,8
1011301,landline,9
369434,mobile,9
395320,mobile,10
1074109,landline,10
1019987,landline,11
372027,mobile,11
1042338,landline,12
377527,mobile,12
403366,mobile,13
1109936,landline,13
347725,mobile,14
940828,landline,14
355855,mobile,15
990191,landline,15
347912,mobile,16
922330,landline,16
368030,mobile,17
946488,landline,17
1003826,landline,18
386361,mobile,18
336898,mobile,19
937456,landline,19
791038,landline,20
308494,mobile,20
303018,mobile,21
819464,landline,21
271800,mobile,22
710438,landline,22
289545,mobile,23
890240,landline,23
359209,mobile,24
952026,landline,24
932566,landline,25
342948,mobile,25
336233,mobile,26
910899,landline,26
950967,landline,27
336307,mobile,27
870570,landline,28
328569,mobile,28
865247,landline,29
319809,mobile,29
337741,mobile,30
925428,landline,30
303849,mobile,31
850113,landline,31
844495,landline,32
290458,mobile,32
850120,landline,33
297403,mobile,33
776699,landline,34
297400,mobile,34
299441,mobile,35
812017,landline,35
796834,landline,36
297137,mobile,36
314151,mobile,37
825298,landline,37
869099,landline,38
321225,mobile,38
895806,landline,39
333087,mobile,39
331568,mobile,40
885681,landline,40
957083,landline,41
344932,mobile,41
359173,mobile,42
916750,landline,42
338376,mobile,43
944779,landline,43
933053,landline,44
361063,mobile,44
339870,mobile,45
870770,landline,45
345066,mobile,46
931527,landline,46
976230,landline,47
360064,mobile,47
371685,mobile,48
1041187,landline,48
384573,mobile,49
1095187,landline,49
350342,mobile,50
1017354,landline,50
372682,mobile,51
1127110,landline,51
989233,landline,52
355594,mobile,52
530748,landline,53
169392,mobile,53
